City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
634,Baykit,RU,61.67,96.37,24.91,96,98,3.74,light snow
635,Plyussa,RU,58.43,29.37,50.14,96,65,5.21,broken clouds
636,Kolondieba,ML,11.09,-6.89,75.2,41,60,0.89,broken clouds
637,Vilyuysk,RU,63.76,121.62,-5.42,91,37,3.11,scattered clouds
638,Tuatapere,NZ,-46.13,167.68,54.0,79,93,5.01,overcast clouds
639,Richards Bay,ZA,-28.78,32.04,76.37,65,85,17.52,overcast clouds
640,Parthenay,FR,46.67,-0.42,55.0,92,100,5.99,overcast clouds
641,Aljezur,PT,37.32,-8.8,61.68,88,0,4.99,clear sky
642,Sinnamary,GF,5.38,-52.95,81.59,80,0,11.63,clear sky
643,Elizabethtown,US,37.69,-85.86,59.0,89,100,5.39,moderate rain
644,Devonport,AU,-41.17,146.35,60.01,65,15,1.99,few clouds
645,Wilmington,US,34.23,-77.94,73.0,81,67,5.84,broken clouds
646,Miraflores,MX,19.22,-98.81,75.0,33,46,15.99,scattered clouds
647,La Rioja,ES,42.25,-2.5,54.0,72,20,4.81,few clouds
648,Severodvinsk,RU,64.56,39.83,45.48,83,44,12.08,light rain
649,Moranbah,AU,-22.0,148.05,79.41,16,0,7.9,clear sky
650,Ancud,CL,-41.87,-73.82,53.01,87,84,4.0,broken clouds
651,Le Port,RE,-20.94,55.29,60.01,91,99,1.99,overcast clouds
652,Yarada,IN,17.65,83.27,78.75,59,21,5.44,few clouds
653,Harindanga,IN,22.04,88.32,70.61,68,0,6.96,clear sky
654,Ventspils,LV,57.39,21.56,51.55,87,100,13.53,overcast clouds
655,Usinsk,RU,65.99,57.53,36.55,98,100,18.61,moderate rain
656,Sragen,ID,-7.43,111.02,78.28,82,97,0.22,overcast clouds
657,Vianopolis,BR,-16.74,-48.52,68.99,89,100,4.72,overcast clouds
658,Ambilobe,MG,-13.2,49.05,72.82,78,1,4.34,clear sky
659,Maroantsetra,MG,-15.43,49.73,73.0,84,47,4.72,light rain
660,Tornio,FI,65.85,24.15,44.35,96,100,10.56,moderate rain
661,Ust-Nera,RU,64.57,143.2,3.87,74,77,1.83,broken clouds
662,Birao,CF,10.28,22.79,76.37,35,0,4.29,clear sky
663,Buarcos,PT,40.17,-8.88,57.99,88,0,1.01,clear sky
664,Praia Da Vitoria,PT,38.73,-27.07,66.99,86,37,7.0,scattered clouds
665,Lisala,CD,2.15,21.52,71.02,99,100,2.3,overcast clouds
666,Esfarayen,IR,37.08,57.51,45.05,54,14,1.9,few clouds
